Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
120,00:00:05.005,0.14001806684733514,0.0,0.42005420054200543,0.0
121,00:00:05.047,0.16576332429990967,0.0,0.497289972899729,0.0
122,00:00:05.088,0.14905149051490515,0.0,0.44715447154471544,0.0
123,00:00:05.130,0.17931345980126467,0.0,0.537940379403794,0.0
124,00:00:05.172,0.22312556458897922,0.0,0.6693766937669376,0.0
125,00:00:05.214,0.18112014453477868,0.0,0.5433604336043361,0.0
126,00:00:05.255,0.2213188798554652,0.0,0.6639566395663956,0.0
127,00:00:05.297,0.11788617886178861,0.0,0.35365853658536583,0.0
128,00:00:05.339,0.10569105691056911,0.0,0.3170731707317073,0.0
129,00:00:05.380,0.050587172538392046,0.0,0.15176151761517614,0.0
130,00:00:05.422,0.0009033423667570009,0.0,0.0027100271002710027,0.0
131,00:00:05.464,0.02348690153568202,0.0,0.07046070460704607,0.0
132,00:00:05.505,0.00045167118337850043,0.0,0.0013550135501355014,0.0
133,00:00:05.547,0.0,0.0,0.0,0.0
134,00:00:05.589,0.00993676603432701,0.0,0.02981029810298103,0.0
135,00:00:05.631,0.0009033423667570009,0.0,0.0027100271002710027,0.0
136,00:00:05.672,0.00903342366757001,0.0,0.02710027100271003,0.0
137,00:00:05.714,0.0,0.0,0.0,0.0
138,00:00:05.756,0.0,0.0,0.0,0.0
139,00:00:05.797,0.01671183378500452,0.0,0.05013550135501355,0.0
140,00:00:05.839,0.0,0.0,0.0,0.0
141,00:00:05.881,0.02032520325203252,0.0,0.06097560975609756,0.0
142,00:00:05.923,0.0,0.0,0.0,0.0
143,00:00:05.964,0.0,0.0,0.0,0.0
144,00:00:06.006,0.057813911472448055,0.0,0.17344173441734417,0.0
145,00:00:06.048,0.0,0.0,0.0,0.0
146,00:00:06.089,0.0,0.0,0.0,0.0
147,00:00:06.131,0.15356820234869015,0.0,0.46070460704607047,0.0
148,00:00:06.173,0.0022583559168925025,0.0,0.006775067750677507,0.0
149,00:00:06.215,0.13143631436314362,0.0,0.3943089430894309,0.0
150,00:00:06.256,0.0,0.0,0.0,0.0
151,00:00:06.298,0.0,0.0,0.0,0.0
152,00:00:06.340,0.08084914182475157,0.0,0.24254742547425473,0.0
153,00:00:06.381,0.0,0.0,0.0,0.0
154,00:00:06.423,0.06955736224028906,0.0,0.2086720867208672,0.0
155,00:00:06.465,0.03297199638663053,0.0,0.0989159891598916,0.0
156,00:00:06.506,0.0948509485094851,0.0,0.2845528455284553,0.0
157,00:00:06.548,0.16485998193315268,0.0,0.494579945799458,0.0
158,00:00:06.590,0.1860885275519422,0.0,0.5582655826558266,0.0
159,00:00:06.632,0.20460704607046068,0.0,0.6138211382113821,0.0
160,00:00:06.673,0.1964769647696477,0.0,0.5894308943089431,0.0
161,00:00:06.715,0.20460704607046068,0.0,0.6138211382113821,0.0
162,00:00:06.757,0.21770551038843722,0.0,0.6531165311653117,0.0
163,00:00:06.798,0.18654019873532068,0.0,0.559620596205962,0.0
164,00:00:06.840,0.16034327009936766,0.0,0.481029810298103,0.0
165,00:00:06.882,0.15672990063233966,0.0,0.470189701897019,0.0
166,00:00:06.924,0.09439927732610659,0.0,0.28319783197831977,0.0
167,00:00:06.965,0.0898825654923216,0.0,0.2696476964769648,0.0
168,00:00:07.007,0.05555555555555555,0.0,0.16666666666666666,0.0
169,00:00:07.049,0.026648599819331528,0.0,0.07994579945799458,0.0
170,00:00:07.090,0.018518518518518517,0.0,0.05555555555555555,0.0
171,00:00:07.132,0.0022583559168925025,0.0,0.006775067750677507,0.0
172,00:00:07.174,0.0,0.0,0.0,0.0
173,00:00:07.216,0.0,0.0,0.0,0.0
174,00:00:07.257,0.0,0.0,0.0,0.0
175,00:00:07.299,0.0,0.0,0.0,0.0
176,00:00:07.341,0.0,0.0,0.0,0.0
177,00:00:07.382,0.0,0.0,0.0,0.0
178,00:00:07.424,0.0,0.0,0.0,0.0
179,00:00:07.466,0.0,0.0,0.0,0.0
180,00:00:07.507,0.0,0.0,0.0,0.0
181,00:00:07.549,0.0,0.0,0.0,0.0
182,00:00:07.591,0.0,0.0,0.0,0.0
183,00:00:07.633,0.0,0.0,0.0,0.0
184,00:00:07.674,0.0,0.0,0.0,0.0
185,00:00:07.716,0.0,0.0,0.0,0.0
186,00:00:07.758,0.0,0.0,0.0,0.0
187,00:00:07.799,0.0,0.0,0.0,0.0
188,00:00:07.841,14.112466124661248,14.27371273712737,2.7953929539295395,25.26829268292683
189,00:00:07.883,19.935411020776876,18.31029810298103,7.063685636856369,34.43224932249323
190,00:00:07.925,18.506775067750677,15.777777777777779,10.29539295392954,29.447154471544714
191,00:00:07.966,10.351400180668472,6.636856368563685,11.710027100271002,12.707317073170731
192,00:00:08.008,8.809394760614273,4.956639566395664,11.434959349593496,10.036585365853659
193,00:00:08.050,5.8775971093044275,2.6219512195121952,9.386178861788618,5.624661246612466
194,00:00:08.091,5.2502258355916895,3.432249322493225,6.157181571815718,6.161246612466124
195,00:00:08.133,2.4381210478771456,2.3279132791327912,2.569105691056911,2.4173441734417342
196,00:00:08.175,2.4304426377597106,2.0392953929539295,1.7330623306233062,3.5189701897018972
197,00:00:08.217,2.21680216802168,2.6097560975609757,1.4579945799457994,2.5826558265582658
198,00:00:08.258,2.440379403794038,2.3292682926829267,1.8387533875338753,3.1531165311653115
199,00:00:08.300,2.165311653116531,2.3902439024390243,1.6124661246612466,2.4932249322493223
200,00:00:08.342,3.2168021680216796,3.2886178861788617,1.7249322493224932,4.636856368563685
